et	13665376
ae	7415547
ei	6494809
es	5645808
eo	5554388
ot	5512738
at	5274135
ad	5060826
as	4913319
nt	4363004
rt	4284231
os	4086055
in	4005587
gi	3877034
it	3838893
ai	3739832
en	3720181
er	3635998
is	3525558
rs	3190455
al	2876843
st	2849566
ce	2767049
ar	2720647
ns	2676314
ep	2674529
dt	2655054
fr	2473997
hi	2450246
no	2338469
de	2312144
ht	2276827
or	2275815
eu	2268693
lo	2214288
an	2205512
nr	2184527
el	2176133
hr	2148627
hs	2127931
mn	2107830
pr	2078891
ao	2064130
cn	2042768
lt	2036421
op	1992997
mr	1980710
ln	1959782
cr	1955204
ls	1951809
il	1926822
hn	1848851
ef	1833270
dr	1818080
gt	1815308
mt	1787675
ac	1765730
do	1764285
ds	1760355
cs	1725146
tw	1702815
ms	1667108
tu	1659032
ew	1618879
be	1616343
di	1614032
io	1598949
cl	1585438
uy	1578721
ir	1573811
ci	1522413
rv	1514951
ay	1454641
em	1400869
dn	1397639
ft	1389553
ag	1363882
ap	1363321
rw	1358275
iu	1351560
go	1346896
ct	1338278
sw	1318561
cu	1290831
lr	1286626
ah	1267261
bt	1241638
eg	1221216
ty	1209881
nw	1187082
su	1185064
du	1180163
cm	1169010
fo	1151468
eh	1148824
co	1143646
ho	1134895
.t	1116019
mo	1101152
hu	1088943
ey	1078697
lw	1061623
ip	1040332
,a	1024331
lm	1010388
ko	995757
cd	985285
pt	975305
ps	951647
.i	899851
gr	889528
iy	887298
am	881135
fs	875852
ru	873128
au	867698
bs	864573
br	863572
ak	858515
np	855987
dl	849458
hl	847531
,e	844353
.e	840469
lu	837719
ly	836651
dm	815407
gs	782377
fn	779874
,t	778149
ny	773635
fl	765712
oy	750375
af	746823
iw	744936
nv	730525
fi	724379
sy	722599
gn	713637
dh	709990
lv	699630
bl	699281
nu	698041
hy	689708
bo	689038
cf	679494
cp	669552
.a	658034
hm	652281
ry	650591
bd	646598
im	640740
dw	636769
gl	617549
dy	617487
ev	605670
df	604615
,i	603350
wy	601310
lp	588618
ab	588037
hv	559986
.n	552426
aw	551373
.o	538655
dv	529443
sv	526860
ow	526741
bn	523281
,o	516856
,n	512337
bi	512264
dp	507623
ou	505560
ik	491522
kn	485053
,s	481899
kt	478740
tv	472393
ek	470162
.s	457743
bu	452101
ch	451028
hw	440523
'e	437125
.r	425800
fy	421153
py	414274
,r	410837
,l	405414
bc	401777
gm	394811
,w	385945
kl	374763
dg	371308
hp	370428
.l	362288
by	349923
pu	348367
my	337819
'o	334785
,c	325723
,b	316627
.c	313587
cy	313419
uw	308819
.w	303953
mu	299786
fu	298822
gh	281932
iv	272054
.m	268504
js	268174
gu	263502
km	262540
cv	256877
fg	254534
fm	252663
.h	252506
bg	237946
,m	229134
'a	215284
gy	213889
dk	211499
ex	211243
fw	210795
-e	210692
's	209609
fh	206363
.d	205783
cg	200557
-o	200310
av	200201
-a	199013
ov	197113
.b	196515
bf	193769
kr	193766
,h	191242
gp	188129
,d	184929
gv	184723
'i	183999
eq	183973
ks	183956
mw	182541
iq	176040
gw	170565
.f	165723
.u	162131
,p	162040
.g	157337
-i	155970
,g	155862
,u	152927
fp	152851
.p	150064
pw	148290
'.	147611
bh	142324
jr	141967
.y	139354
mv	139312
'h	137771
,y	136221
,f	135077
't	131182
ku	131168
aq	131162
-t	129055
-n	127861
nz	126366
ky	125552
'd	121735
'r	121238
-r	119340
ej	118488
mx	117247
'l	116325
-l	113988
lx	112900
bp	111899
'n	109902
cj	104020
mp	102213
bw	101973
sx	101686
jn	99038
bm	98677
tx	96858
qr	96399
rx	92686
-s	88900
nx	81024
cw	80851
-.	77621
rz	76398
fv	75131
kp	75037
vw	74299
lz	73182
kw	71928
jm	67904
.k	66005
'w	65752
ij	65685
fk	65359
,k	64834
hk	64729
dj	64210
uv	61917
.v	61497
-u	61146
dz	60349
-h	60130
jy	59458
bk	58786
,v	58638
-c	57929
ax	55024
vy	54821
',	54693
cx	54598
sz	53922
ck	53872
tz	50622
jt	49935
ix	44949
bx	44603
aj	44426
mz	44231
jo	42836
ju	41381
.j	41205
ez	40390
'u	40152
-p	39795
ox	39493
bv	39042
bj	38342
hj	37800
'm	37757
'c	37380
'y	37318
nq	37024
-w	36105
gk	35813
,j	35260
dx	34770
-f	33944
-m	33486
qs	33463
'f	33457
jl	32922
-d	32308
fx	31462
-g	30442
'g	29761
az	29317
'b	25022
iz	23804
fj	23516
oq	23315
-y	22617
'p	22173
qt	22048
-b	21991
dq	19067
oz	18309
gj	18005
hx	16815
ux	16755
pv	16533
gz	16408
kv	16305
uz	15362
lq	15115
'k	14790
jw	13927
jp	13904
-v	13874
,-	13094
px	12778
pz	12381
qy	12011
bz	11933
wx	11334
jk	10688
-k	9905
'v	9850
.z	9596
,z	9408
hq	9317
hz	9256
cz	9063
.x	8524
gx	8085
'-	7649
wz	7509
yz	7471
,x	7132
-x	6578
,.	6552
gq	6263
fq	6078
.q	6062
xy	5827
jv	5672
kz	5503
,q	5360
fz	4693
'j	4256
'x	3588
bq	3526
-j	3333
vx	3273
jz	3016
mq	2868
pq	2594
qw	2516
qu	2230
cq	2068
kq	1907
-z	1806
'z	1761
vz	1655
-q	1620
jx	1449
kx	1336
'q	990
xz	496
qx	308
qz	267
qv	212
jq	167
