er	12405415
ht	11179268
in	9185603
eh	8816006
an	7579482
it	7429693
es	7040469
or	6783080
en	6597127
no	6524529
at	6240464
de	5626063
ar	5530099
ot	5431855
et	5246443
is	5066373
al	4934863
st	4826110
el	4639894
dn	4463354
fo	4423429
gn	4043422
ou	4034050
ev	3855265
il	3774289
em	3704145
as	3492166
ac	3408231
ce	3386538
ah	3282014
nt	3146659
ir	3139100
mo	3034511
co	2947656
am	2875300
ae	2699308
ci	2659572
lo	2561457
su	2538226
di	2496489
ru	2431610
rt	2422062
os	2366908
io	2363104
hi	2300128
tu	2275111
ow	2099755
be	2029448
ep	2005682
im	1896303
ad	1861196
ch	1825892
op	1811752
ai	1801528
ho	1787902
iv	1780927
fi	1732644
ew	1722389
eg	1704895
ap	1677797
ei	1674822
oy	1649683
iw	1564912
nu	1561002
ns	1554019
pr	1500888
do	1480900
ly	1479413
rs	1474713
aw	1473522
lu	1459201
ab	1433644
ct	1430230
gi	1391187
ef	1257612
av	1229407
hw	1204079
ek	1185006
ag	1178327
lp	1168198
cn	1134754
hs	1119625
ay	1081484
bo	1053658
cu	1034238
bu	983694
ey	975305
dl	960276
dr	939304
.s	920577
gr	888810
pu	868936
go	866967
,s	863172
cr	858905
ov	851839
ps	838400
fr	825507
gh	819149
au	810913
mp	809452
af	807708
ry	794615
ip	789823
ik	777195
bl	773468
du	765310
mu	751393
ls	738434
ty	734176
.e	709337
ex	708240
lt	700514
gu	692917
ck	668310
bi	635037
,e	623876
ak	602431
cl	594801
's	582555
cs	554200
't	538691
sy	526731
eu	509357
ds	490843
nr	490709
mr	487571
br	465590
kn	456027
ny	448843
ks	440413
ms	434951
kr	434745
.t	431566
by	419563
qu	417124
eo	413599
fu	411153
iu	401591
ko	373720
my	368941
,t	361824
'n	352192
fl	346223
ft	341500
,y	340207
.d	334759
.n	324538
,n	319761
hr	315670
nw	303110
lr	300888
.y	298426
pt	293583
ju	289979
,r	289656
bm	288595
,d	285023
.r	279443
tw	272190
ao	264938
iz	249136
ln	248180
hp	247313
sw	246591
jo	238768
rv	218688
gs	217920
px	217572
fn	209311
gl	198790
dy	191967
ez	186533
'i	186370
hu	180751
'e	174585
nv	166294
.g	166058
bs	165006
ix	161264
rw	159106
-e	157654
tx	157386
ax	148085
,l	147728
cy	146429
.l	145811
