aa	77298
ae	54146
mn	54060
ak	53195
au	52427
at	51875
in	50884
en	46802
ai	45907
ao	44082
as	42462
nr	37767
is	35624
st	34732
hn	33583
an	33109
dn	32748
pr	32622
gi	32218
nt	31953
it	30697
ei	30246
rs	29838
ad	29715
oo	29388
jn	27515
ik	27374
os	27094
et	27015
ho	26675
kl	25735
no	25587
eo	25526
kt	25511
ar	25394
ag	24943
kr	24913
/a	24338
kn	24266
nu	24234
di	24085
iu	23943
ms	23779
ab	23758
hr	23225
'a	22721
ls	21322
ah	21177
es	20458
io	20387
ns	20369
ln	20358
em	20180
ot	19978
am	19627
dk	19110
ku	18336
ko	18318
,a	18174
nn	17760
fh	17736
fo	17694
ap	17515
bt	17289
su	17162
--	16411
uu	15928
al	15802
/k	15699
ks	15468
aj	15449
dr	15146
/e	14717
rt	14567
ir	14545
du	14396
hi	14272
ii	14143
-i	14125
ps	14089
..	13877
il	13419
ek	13205
/s	13151
im	12363
lr	12311
ht	12151
-a	12078
pt	12027
/o	12025
/i	12024
.o	11867
/n	11811
ou	11613
de	11433
gu	11423
lv	11272
eg	11226
/t	11190
af	11089
kk	10959
eu	10869
tu	10720
ov	10606
'n	10519
er	10357
hm	10335
mt	10227
mr	10168
hu	10163
lu	9995
bu	9939
'u	9846
ee	9812
ru	9649
dm	9603
go	9599
nv	9390
,d	9219
rv	9167
mm	9165
mu	9095
,m	8993
ev	8951
av	8947
,n	8914
eh	8869
pu	8786
fi	8732
lt	8723
do	8664
el	8659
or	8637
jk	8599
/u	8553
fn	8457
-o	8372
-e	8328
'i	8304
dt	8290
gm	8270
km	8127
np	8111
ip	8044
jm	8033
hs	7941
cr	7819
,k	7721
ft	7647
'k	7636
,u	7598
ds	7484
ci	7477
-n	7344
/m	7092
js	7079
cm	7060
'e	7048
jr	6983
/d	6940
'o	6847
,s	6827
hh	6747
/;	6684
bn	6649
.a	6643
ep	6627
;p	6506
op	6376
lm	6371
nw	6243
lp	6191
fg	6136
,t	6088
bi	6083
hl	5896
mv	5809
;i	5804
//	5691
ac	5636
iw	5627
fs	5592
/h	5562
/r	5537
fu	5459
mo	5453
jt	5427
's	5409
uv	5362
gl	5320
,i	5313
be	5249
dh	5186
fl	5146
hk	5145
,e	5012
ij	4903
/l	4743
gn	4734
-u	4661
lo	4564
.i	4561
ef	4539
'r	4487
.k	4472
-r	4450
rw	4388
ss	4351
gs	4313
gh	4283
fr	4277
jo	4223
,r	4202
ct	4197
;a	4191
nz	4149
.n	4146
dg	4139
ay	4121
jl	4051
,o	3943
bs	3889
bo	3853
.e	3767
br	3745
tt	3742
ej	3692
