an	154374
ak	108138
am	89252
nu	87436
in	78384
ot	75778
ar	72983
en	68445
as	61361
er	59702
os	52747
ah	52420
au	51297
ko	49125
gn	48301
ru	47653
ad	47648
il	47365
im	46011
ik	44691
ai	44561
ir	42629
al	42540
it	40479
hs	40283
at	38276
du	37584
ek	35155
or	34676
de	33836
ku	31683
aj	31517
ap	30057
et	29512
aa	28904
ht	28869
el	28864
iv	28601
is	27283
su	26496
no	26356
st	26156
em	25831
ei	24662
ab	24316
es	23828
..	23472
ej	23406
br	22708
ep	21966
go	21649
mo	20224
af	19991
--	19955
hi	19031
fs	18922
tt	18454
av	18143
mm	17775
op	17753
bo	16840
tu	16792
kk	16763
rt	16345
lo	16246
gi	16062
eg	15956
dn	15629
/a	15557
ks	15337
nn	15160
ft	15070
ss	14931
ag	14873
io	14197
ps	13838
aw	13699
fu	13492
ij	13413
eh	13264
kn	12975
//	12757
di	12718
lu	12604
hu	10538
nt	10461
dj	10320
ew	10262
,a	10089
ii	10060
ho	9996
ch	9650
gl	9534
fi	9385
co	9327
kr	9019
do	8924
'a	8917
lp	8833
az	8175
dr	8147
oo	8089
jo	8086
hh	8058
ou	8027
mu	7817
/m	7753
'n	7652
/t	7375
ip	7209
bi	7186
-g	7098
'/	7060
,n	6971
ev	6919
;s	6830
kt	6689
'u	6660
pt	6530
/i	6489
/e	6279
/o	6108
gr	6096
/;	6088
.c	6076
ac	5977
-e	5716
pr	5592
jn	5590
ov	5502
-t	5477
-f	5419
ax	5397
-s	5340
,i	5276
/n	5229
/u	5129
/s	5118
uu	5043
be	5038
hm	5018
,o	5003
.r	4947
ez	4933
jk	4910
ae	4902
bu	4897
hk	4877
ny	4873
bl	4804
ry	4735
iu	4731
kl	4715
ay	4684
eo	4623
/w	4578
lt	4574
eu	4546
ll	4485
ee	4451
ju	4447
;r	4413
/v	4403
ey	4300
cs	4262
gu	4234
;o	4217
,e	4189
,k	4144
js	4132
-d	4132
pu	4075
'k	4048
'e	4033
'i	4028
ns	4001
-n	3921
's	3912
ls	3898
'd	3880
mp	3844
-a	3811
,u	3742
-.	3596
fr	3520
/k	3500
'o	3465
ci	3395
hp	3380
ky	3331
jm	3242
.a	3185
't	2978
'f	2970
/r	2906
fo	2897
uw	2891
ow	2879
ef	2871
dz	2869
.n	2853
dv	2818
cu	2775
hj	2771
ly	2749
rv	2710
'm	2705
-c	2680
fl	2657
,t	2653
'h	2618
rs	2606
nr	2587
-o	2564
ty	2454
-r	2447
iz	2438
-h	2404
sz	2401
.o	2384
-y	2380
dl	2376
/g	2335
oy	2328
'r	2321
-l	2302
gh	2295
jt	2279
-k	2274
',	2272
,h	2256
