aa	598908
ae	414468
at	407314
au	406250
mn	405790
ak	389641
in	374126
ai	351444
en	335673
ao	333258
as	329905
an	273702
is	255616
hn	243655
nr	242756
dn	241972
pr	237953
ad	225772
rs	225222
oo	224418
it	219126
ei	216407
gi	214636
et	204825
ik	200449
nt	197395
st	196734
kt	195676
jn	192114
os	190357
kl	189645
ag	189341
no	185939
kr	185832
ab	184597
kn	179840
iu	179401
nu	178628
ar	175611
di	174948
ho	174769
ms	169098
hr	167520
'a	161584
eo	158196
/a	157682
ah	156999
ln	156476
am	153651
ls	153534
ns	152695
em	149812
io	147879
ot	145404
es	144809
nn	143099
dk	141937
ku	138542
ko	137770
fo	133634
ap	131235
bt	129619
uu	128056
,a	127262
su	125392
al	122441
ks	117641
fh	112837
ii	110433
ir	110244
dr	109032
aj	108609
/k	106642
hi	104781
du	102349
ps	100805
ek	99642
rt	97936
..	94215
--	93399
il	92974
ou	90425
lr	90030
im	89780
gu	86174
de	84465
af	84150
lv	82893
/n	82008
kk	81495
'n	79912
eu	79431
tu	79177
hm	79016
mr	77871
eg	75272
bu	74849
hu	74630
ee	72979
mt	72217
ov	72206
er	71975
ru	70991
nv	70624
'u	70325
lu	69273
rv	68845
go	68142
mu	67832
pu	67795
av	67450
,m	67246
,n	66285
dm	66219
el	65922
lt	65762
eh	65368
km	64399
mm	64097
fn	63299
ip	62766
,d	62589
or	61960
'i	61168
fi	60589
dt	60517
jk	60163
jm	58881
np	58865
hs	58835
/u	56185
gm	55607
ft	54338
,u	54053
bn	53828
,k	53021
hh	52946
/s	52877
'k	52790
'e	51959
do	51215
ds	50241
bi	49503
js	49476
hl	49431
'o	49170
jr	49121
lp	49014
,s	48541
/t	48090
ac	47252
.a	46650
lm	46590
ci	46446
op	46207
ep	46197
;i	45829
nw	45579
ht	44593
-a	44584
/d	43981
,t	43670
/e	42795
pt	42746
/i	42679
/m	41945
//	41565
/o	41480
hk	41193
jt	41023
fu	40424
mo	39987
fs	39815
fl	39745
's	39501
,i	38073
nz	37330
ij	37226
gl	37033
gn	36880
,e	36731
dh	36651
ev	36579
uv	36337
be	36069
az	35044
ay	34418
'r	33947
;a	33492
ss	33237
/r	33102
lo	32458
rw	32116
ef	31685
ny	31502
fr	31317
jo	30818
.k	30761
/l	30631
;g	30619
,r	30161
rz	29755
tt	29669
bs	29360
dg	29345
bo	29235
,o	28186
jl	27976
.n	27928
't	27627
ej	27487
/h	26737
br	26374
gh	26273
iv	26020
bk	25896
.u	25711
ju	25503
gs	24980
sv	24566
'l	24470
-n	24351
dj	23950
iz	23890
'm	23386
ct	23207
hj	23095
cl	23071
dl	22934
,g	22645
fk	22345
,h	22279
.m	22186
kv	22143
-i	22048
;o	21922
-e	21833
kp	21668
''	21649
gr	21485
cn	21462
my	21202
cr	21116
ky	20898
.i	20595
;;	20368
co	20328
;n	20309
iy	20306
ce	20217
/b	20145
rr	19858
,l	19394
.e	19226
kw	19083
gk	18997
bl	18983
sy	18838
'd	18821
/g	18663
.t	18301
ty	18273
oz	18216
.s	17787
;u	17621
gt	17511
.d	17413
;r	17275
,b	17243
cu	17143
/j	17119
ry	17092
'h	17006
;e	16961
mz	16517
'p	16480
tv	16457
/p	16405
'j	16171
-u	15742
-o	15634
rx	15554
-s	15434
,f	14818
ey	14816
hv	14577
;k	14491
aw	14446
.o	14146
'/	14069
-k	13952
',	13507
,p	13475
ll	13410
iw	13265
mv	13177
-r	13040
fj	12938
df	12933
ez	12833
;t	12788
/f	12605
nx	12557
,j	12227
.r	12027
tz	11993
bh	11992
fg	11801
oy	11755
/w	11742
uy	11547
,v	11401
hp	11214
'f	11188
jj	11168
dd	11154
/v	11133
cs	11049
-t	10964
gv	10905
bd	10839
.h	10737
;s	10620
mp	10309
gj	10176
;d	9975
bm	9859
'g	9793
gp	9778
uz	9720
./	9440
ax	9426
'b	9285
'.	9212
ly	9152
-.	9032
bg	8998
ew	8910
-m	8876
dv	8832
.l	8820
pp	8801
sw	8775
bj	8681
lz	8598
jp	8561
;w	8522
';	8340
fz	8282
-h	8255
mx	8212
fm	8169
hy	8131
jv	8096
dy	8088
;l	8087
lw	8053
gy	8027
;m	7859
ck	7836
dp	7673
.g	7634
cd	7632
cm	7609
kz	7549
pv	7469
,-	7402
by	7208
-/	7033
/y	7027
sz	7004
,,	6998
.b	6907
cf	6896
-l	6872
-d	6850
ix	6806
ow	6432
/c	6425
,.	6393
'y	6278
bb	6227
,y	6176
-g	6107
ch	6093
'-	6086
jz	6074
.j	6063
dz	6032
;h	5980
/;	5973
/z	5929
cp	5713
jw	5678
-j	5548
mw	5548
uw	5469
dw	5410
,c	5323
ww	5157
.p	5110
;b	5086
gz	5085
-p	5024
tw	4984
yy	4913
ex	4835
;p	4788
'w	4784
cj	4708
'v	4693
sx	4672
ox	4666
ux	4660
.f	4639
gw	4506
;j	4421
py	4367
.v	4152
dx	4100
bz	3936
'c	3888
fw	3833
-b	3800
xx	3755
/x	3754
wy	3750
;y	3689
,z	3681
cz	3657
fy	3579
cg	3522
kx	3495
lx	3491
pz	3461
-v	3404
cc	3356
gg	3344
jy	3269
-f	3255
hz	3232
bc	3197
,/	3170
,w	3168
aq	3167
hw	3088
vy	3039
.;	2980
'z	2917
-z	2883
.y	2875
eq	2844
;v	2827
.c	2786
;f	2785
cy	2679
ff	2679
yz	2613
bp	2575
jx	2557
tx	2500
-;	2482
vz	2444
iq	2396
;c	2317
,x	2316
-y	2263
oq	2156
fv	2134
fp	2095
'x	1989
bw	1949
bf	1906
nq	1799
cv	1766
zz	1725
.x	1613
-c	1588
.z	1587
px	1587
.w	1466
vv	1463
pw	1462
qr	1461
hx	1440
xy	1348
;z	1298
vw	1285
-x	1266
qs	1240
fx	1230
bv	1190
,;	1166
-w	1087
cw	1068
vx	1057
qt	1009
bx	998
lq	995
xz	883
qq	855
qu	819
;x	767
gq	724
kq	712
/q	689
mq	671
pq	657
gx	654
wx	627
wz	607
cx	576
hq	545
dq	530
bq	439
,q	414
'q	389
jq	375
qy	302
-q	221
cq	209
.q	174
fq	170
;q	160
qw	150
qz	120
qv	91
qx	84
