an	1208385
ak	775973
am	654511
nu	638378
ar	555034
in	554335
ot	552998
en	504554
as	454572
er	426121
ah	398480
os	391639
au	375647
ko	373885
ad	357711
ru	353763
im	347478
il	341845
ai	331092
gn	329276
al	323306
ik	322737
ir	304889
it	301540
at	292988
du	265609
hs	263859
de	252056
ek	250415
ku	225881
aj	223881
ap	222586
or	214233
aa	207513
el	206489
is	205888
st	203102
su	201753
em	191706
ab	184816
et	183203
es	181249
iv	177706
br	172140
ej	165021
..	164052
no	160114
ep	158766
go	154042
af	153884
ei	146608
ht	140865
av	135155
hi	134279
op	124532
fs	121731
kk	120727
tu	120272
rt	117554
lo	117255
ft	117044
bo	115935
mm	115738
--	115267
dn	110179
mo	109864
eg	109476
nn	109209
ks	109067
aw	108694
ss	108240
fu	107645
ag	106520
/a	104425
eh	103215
lu	98833
io	98310
tt	92757
ij	91300
kn	87483
di	84835
hu	80693
nt	77823
gi	76316
ho	73436
ii	72986
,a	72581
az	71822
dj	70294
gl	69771
ch	69119
lp	66427
'a	65918
do	65319
jo	64186
hh	62565
kr	61693
mu	59205
'n	58934
ac	55510
ew	55494
ou	54781
kt	54410
bi	53606
//	52513
ps	52168
ip	51537
oo	50613
ay	50214
,n	50110
'u	49378
dr	49291
ev	46788
'/	46650
gr	46455
pr	45091
/e	43531
/o	41900
ov	40241
ez	39921
/i	39391
iu	39303
jn	38871
uu	38595
ny	38483
be	38044
bl	37840
,i	37663
jk	37621
ae	37087
hk	36754
ey	36654
kl	36412
;o	35873
ax	35776
,o	35444
;r	35185
ry	35146
bu	35102
eo	35061
/n	35049
gu	34703
lt	34665
eu	34144
hm	33658
/u	33229
ju	33178
fi	32949
ll	32695
ns	31944
uw	31497
ky	31272
sz	31244
,e	30491
'i	30017
mp	29696
,k	29616
'e	29477
js	28777
'k	28677
's	28538
ee	28304
'd	28212
pu	28005
ls	27094
co	26915
ci	26856
dz	26278
cu	25832
,u	25633
cs	25506
fr	24988
'o	24938
'f	24310
hj	23449
jm	23294
hp	23022
iz	22440
/k	22404
't	22271
ef	22157
dv	21958
-.	21945
oy	21272
.a	21146
/s	20893
ly	20161
fo	19776
/t	19771
'm	19681
ow	19549
'h	19180
rv	19094
,t	18507
fl	18176
/r	18052
nr	18017
ce	17637
-a	17547
rs	17492
ty	17390
gh	17062
dl	16915
'r	16565
jt	16316
',	16124
dy	15767
sy	15636
;a	15383
,h	15353
.n	14822
ct	14754
mt	13971
ao	13800
ms	13742
.o	13635
jr	13633
'l	13535
my	13533
-n	13233
bt	13114
,m	12824
,s	12732
,r	12648
ds	12625
;u	12592
'j	12323
uy	12290
jv	12262
hz	11926
lr	11874
.i	11796
-t	11738
ck	11423
;d	11391
sv	11186
hn	11178
'g	11054
.k	10940
.e	10808
/g	10748
gj	10572
uv	10553
oz	10534
jl	10521
tz	10452
hr	10317
/l	10202
iw	10089
mr	10087
mn	10058
ln	9925
fn	9858
iy	9842
,,	9795
,g	9629
/m	9596
-d	9486
mz	9468
'b	9398
;n	9338
-i	9268
hy	9202
.u	9128
'p	8996
gk	8934
'v	8930
bj	8693
dk	8538
;;	8527
-o	8520
-e	8515
bm	8515
uz	8480
py	8466
;k	8276
'.	8241
;i	8135
-k	8033
;s	7920
/d	7674
;b	7623
;e	7621
nw	7548
/j	7489
,-	7474
gv	7280
dt	7269
rr	7161
;t	7024
;p	6706
ex	6680
gg	6655
/h	6632
,j	6631
.m	6579
jp	6544
,l	6502
-s	6416
-u	6322
np	6229
ox	5989
bs	5989
jj	5886
ix	5877
bh	5791
cn	5737
cc	5659
lm	5653
.s	5595
nz	5547
-h	5539
fj	5495
.t	5377
;m	5308
dd	5197
/x	5193
by	5136
cj	5133
cr	5102
df	5102
,d	5035
hl	5015
'-	4946
jz	4910
gy	4853
.r	4757
'c	4698
fy	4652
-l	4651
dh	4611
;g	4453
ff	4376
-r	4310
hw	4277
fh	4249
kz	4215
-m	4207
kv	4198
yy	4176
'y	4109
gs	4105
qu	4091
./	4079
ux	4026
kw	4024
-/	3940
.;	3872
rw	3862
iq	3767
dw	3761
nv	3611
tx	3610
-g	3578
.g	3574
dg	3556
/y	3500
.h	3479
dm	3453
vy	3402
gt	3291
'z	3259
lv	3214
cd	3185
;w	3169
km	3108
aq	3088
gw	3049
cl	3047
cy	3005
dx	2967
-j	2962
pt	2961
ww	2952
pp	2915
;c	2903
'w	2820
/p	2820
/f	2800
,y	2793
;v	2738
fk	2726
-v	2710
rz	2661
mw	2643
/b	2623
bn	2595
-p	2586
sw	2552
.j	2518
,b	2486
''	2465
'x	2452
/v	2435
,.	2395
tw	2366
.l	2291
fz	2274
-z	2255
;h	2220
vz	2213
-f	2168
-;	2129
/z	2110
xx	2108
,x	2041
gm	2027
kp	2017
hv	2016
/;	2004
bd	2003
;f	1979
-c	1867
.d	1866
,/	1858
yz	1816
zz	1794
-b	1789
;l	1773
jy	1766
pv	1759
,c	1742
nx	1733
cf	1716
lz	1715
cz	1688
bb	1626
tv	1585
lw	1526
';	1521
/w	1476
fg	1453
mx	1453
qt	1436
;y	1423
/c	1414
eq	1350
-y	1340
bk	1285
xy	1284
.b	1273
fp	1262
pw	1256
.y	1243
bc	1184
-x	1127
bw	1097
,z	1093
gz	1079
qw	1076
kx	1066
hx	1059
,p	1046
.c	1034
-w	1030
cm	1021
bz	990
,f	908
jw	897
,w	895
,v	890
dp	879
cq	876
hq	874
wy	858
,;	850
fq	850
bg	831
oq	798
mv	792
;j	785
fx	782
.z	755
kq	755
.w	746
qs	734
gp	716
vv	710
.x	710
fw	689
qr	684
cg	673
jx	647
wx	636
vw	601
fm	588
nq	585
px	576
cx	541
/q	539
qx	527
cv	521
qq	501
lx	495
cw	466
bf	465
sx	463
;z	438
cp	431
pz	424
'q	411
.f	405
.p	402
fv	393
rx	379
.v	377
,q	349
bp	331
;x	326
wz	269
qy	269
gx	247
vx	241
bv	210
pq	196
lq	170
.q	158
xz	150
mq	147
qz	141
jq	128
-q	115
gq	110
dq	104
;q	101
bx	97
bq	62
qv	38
